,台北二綜合農產品批發市場,台北一綜合農產品批發市場,三重區綜合農產品批發市場,桃農綜合農產品批發市場,台中市綜合農產品批發市場,永靖鄉綜合農產品批發市場,溪湖鎮綜合農產品批發市場,南投市綜合農產品批發市場,西螺鎮綜合農產品批發市場,高雄市綜合農產品批發市場,鳳山區綜合農產品批發市場,屏東市綜合農產品批發市場,花蓮市綜合農產品批發市場,台東市綜合農產品批發市場,宜蘭市綜合農產品批發市場,東勢鎮綜合農產品批發市場,台北市場綜合農產品批發市場,嘉義市綜合農產品批發市場,台南市場綜合農產品批發市場,豐原區綜合農產品批發市場,板橋區綜合農產品批發市場
鳳山區綜合農產品批發市場,227.58333333333334,227.58333333333334,221.81666666666666,205.65,136.18333333333334,114.05,106.3,115.21666666666667,97.7,18.333333333333332,0.0,27.233333333333334,353.53333333333336,170.51666666666668,262.71666666666664,148.75,227.58333333333334,87.41666666666667,53.68333333333333,139.4,214.33333333333334
屏東市綜合農產品批發市場,242.01666666666668,242.01666666666668,236.25,220.08333333333334,146.56666666666666,128.48333333333332,120.73333333333333,120.71666666666667,112.11666666666666,39.11666666666667,26.116666666666667,0.0,351.5833333333333,168.58333333333334,277.15,163.18333333333334,242.01666666666668,91.81666666666666,69.66666666666667,153.83333333333334,228.75
花蓮市綜合農產品批發市場,166.78333333333333,166.78333333333333,172.91666666666666,194.43333333333334,274.75,290.23333333333335,281.26666666666665,296.3,297.8666666666667,361.68333333333334,355.1166666666667,353.1,0.0,192.4,134.6,270.4166666666667,166.78333333333333,326.28333333333336,354.85,263.45,181.4
台東市綜合農產品批發市場,356.98333333333335,356.98333333333335,363.1166666666667,359.06666666666666,285.55,267.46666666666664,259.71666666666664,259.7,251.11666666666667,177.7,171.13333333333333,169.13333333333333,191.86666666666667,0.0,324.8,302.1666666666667,356.98333333333335,230.8,208.65,292.81666666666666,371.6
宜蘭市綜合農產品批發市場,51.266666666666666,51.266666666666666,57.4,78.93333333333334,159.23333333333332,174.71666666666667,165.75,172.51666666666668,182.35,266.28333333333336,262.53333333333336,276.96666666666664,134.73333333333332,325.8833333333333,0.0,154.9,51.266666666666666,210.76666666666668,239.33333333333334,147.93333333333334,65.88333333333334
東勢鎮綜合農產品批發市場,116.8,116.8,111.01666666666667,94.85,43.166666666666664,58.65,49.68333333333333,50.4,66.26666666666667,150.21666666666667,146.46666666666667,160.88333333333333,268.8833333333333,300.68333333333334,151.91666666666666,0.0,116.8,94.7,123.25,22.6,103.53333333333333
台北市場綜合農產品批發市場,0.0,0.0,17.516666666666666,39.083333333333336,122.33333333333333,137.81666666666666,128.85,135.61666666666667,145.45,229.4,225.63333333333333,240.06666666666666,168.6,359.75,51.63333333333333,118.0,0.0,173.86666666666667,202.43333333333334,111.03333333333333,26.5
嘉義市綜合農產品批發市場,172.71666666666667,172.71666666666667,166.95,150.78333333333333,80.86666666666666,59.18333333333333,51.43333333333333,55.016666666666666,42.81666666666667,88.91666666666667,85.16666666666667,90.28333333333333,324.8,230.08333333333334,207.83333333333334,93.88333333333334,172.71666666666667,0.0,61.95,84.51666666666667,159.45
台南市場綜合農產品批發市場,202.75,202.75,196.96666666666667,180.8,111.33333333333333,89.2,81.45,92.28333333333333,72.85,58.15,54.4,67.68333333333334,354.8333333333333,207.48333333333332,237.86666666666667,123.91666666666667,202.75,62.56666666666667,0.0,114.55,189.48333333333332
豐原區綜合農產品批發市場,109.4,109.4,103.63333333333334,87.46666666666667,32.81666666666667,48.3,39.333333333333336,41.35,55.93333333333333,139.86666666666667,136.11666666666667,150.55,261.48333333333335,290.35,144.51666666666668,22.516666666666666,109.4,84.35,112.91666666666667,0.0,96.13333333333334
板橋區綜合農產品批發市場,28.466666666666665,28.466666666666665,17.7,28.35,108.66666666666667,124.15,115.16666666666667,121.93333333333334,131.76666666666668,215.71666666666667,211.95,226.38333333333333,184.03333333333333,366.18333333333334,67.06666666666666,104.31666666666666,28.466666666666665,160.18333333333334,188.75,97.36666666666666,0.0
